Strike,BidVolP,AskVolP,BidVolC,AskVolC
2.4,NaN,1.125,0.5267,0.5684
2.45,NaN,2.0153,0.57275,0.61729
2.5,NaN,2.0285,0.61745,0.6647
2.55,NaN,NaN,0.6609,0.71074
2.6,NaN,NaN,0.70317,0.73263
2.3,NaN,1.716,0.46566,0.50029
2.35,NaN,0.91889,0.50092,0.53211
2.2,NaN,0.61255,0.41034,0.42677
2.25,NaN,1.6028,0.43372,0.4514
2.1,0.3012,0.41405,0.39818,0.42125
2.15,NaN,0.52371,0.39034,0.41278
2.05,0.34032,0.37226,0.37177,0.38319
2,0.34155,0.36183,0.37147,0.38385
1.95,0.35138,0.36267,0.35963,0.37528
1.85,0.34564,0.34705,0.34459,0.39416
1.9,0.33931,0.35426,0.34121,0.37001
1.8,0.35066,0.37507,0.42011,0.46752
